Grid,cutset,N,sample_num,log10(part),"time in sec	 "
Grids_14,1,1000,2,391.2965384,10.64548492
Grids_14,1,1000,3,396.4997213,11.17119002
Grids_14,1,1000,4,393.7120669,10.75714946
Grids_14,1,1000,5,391.0961959,10.64677763
Grids_14,1,1000,6,396.8576516,11.26229501
Grids_14,1,1000,7,396.8861504,10.92268586
Grids_14,1,1000,8,391.7462308,10.66047502
Grids_14,1,1000,9,392.8175256,10.64230561
Grids_17,4,100,0,1126.816493,6.725563288
Grids_17,4,1000,0,1106.700679,65.33925915
Grids_17,4,10000,0,1075.998232,652.7361872
Grids_17,4,20000,0,1067.139548,1305.51511
Grids_14,1,10000,0,389.6297439,106.6294584
Grids_14,1,10000,1,388.3850234,106.3349543
Grids_14,1,10000,2,402.0652196,109.9117925
Grids_14,1,10000,3,390.5945348,106.6049836
Grids_14,1,10000,4,399.9246672,109.3614717
Grids_14,1,10000,5,390.0116837,106.7480071
Grids_14,1,10000,6,387.6333052,106.951833
Grids_14,1,10000,7,399.1905298,109.5265489
Grids_14,1,10000,8,388.4030459,106.5117214
Grids_14,1,10000,9,387.7621309,106.7468398
Grids_14,1,20000,0,403.484605,218.8000543
Grids_17,4,100,1,1128.722368,6.75767827
Grids_17,4,1000,1,1116.053443,66.85023975
Grids_17,4,10000,1,1096.767001,667.7767885
Grids_17,4,20000,1,1081.768397,1335.351868
Grids_14,1,20000,1,389.5725049,213.3722639
Grids_14,1,20000,2,388.5025191,213.5548537
Grids_14,1,20000,3,388.8654526,214.5250471
Grids_14,1,20000,4,388.441876,213.8784277
Grids_14,1,20000,5,387.6093579,213.6762683
Grids_14,1,20000,6,387.298036,213.0446429
Grids_17,4,100,2,1125.042884,6.772845984
Grids_17,4,1000,2,1114.319851,67.27255774
Grids_17,4,10000,2,1092.490839,669.7119808
Grids_17,4,20000,2,1079.630423,1337.287752
Grids_14,1,20000,7,401.0631909,218.5789268
Grids_14,1,20000,8,389.9746967,213.306505
Grids_14,1,20000,9,387.0666629,212.92646
Grids_14,2,100,0,418.5842087,1.285905838
Grids_14,2,100,1,418.9463749,1.280236483
Grids_14,2,100,2,416.101422,1.289645672
Grids_14,2,100,3,417.9692734,1.283379555
Grids_14,2,100,4,414.4723055,1.283527136
Grids_14,2,100,5,413.0782289,1.279264927
Grids_14,2,100,6,415.1601693,1.288156509
Grids_14,2,100,7,413.6109434,1.286012888
Grids_14,2,100,8,418.3840577,1.287003994
Grids_14,2,100,9,416.6602844,1.280508995
Grids_14,2,1000,0,417.0958955,12.81781769
Grids_14,2,1000,1,417.922767,12.84038043
Grids_14,2,1000,2,416.0718215,12.93367386
Grids_14,2,1000,3,417.4336278,12.77594662
Grids_14,2,1000,4,417.5441045,12.80155873
Grids_14,2,1000,5,416.3049472,12.79845667
Grids_14,2,1000,6,415.7851564,12.8138833
Grids_14,2,1000,7,418.8802958,12.80585885
Grids_14,2,1000,8,421.5289009,12.808429
Grids_14,2,1000,9,416.7113894,12.80619144
Grids_14,2,10000,0,426.5048191,128.3073006
Grids_14,2,10000,1,431.4387742,128.4913456
Grids_14,2,10000,2,442.9092693,128.3803794
Grids_14,2,10000,3,418.7884795,128.3472786
Grids_17,4,100,3,1117.76315,6.348138571
Grids_17,4,1000,3,1106.532829,62.71496367
Grids_17,4,10000,3,1086.334482,624.8549745
Grids_17,4,20000,3,1076.498753,1250.357687
Grids_14,2,10000,4,424.5530308,128.1515648
Grids_14,2,10000,5,426.7983947,127.9440496
Grids_14,2,10000,6,432.8541147,127.8521106
Grids_14,2,10000,7,433.707054,128.1958277
